dat,OzoneLamp,PAMLamps1,PAMLamps2,Lamp Wavelength,AutoValve1BitLevel,AutoValve2BitLevel,SeqEventNum,SeqIterationNum,Q1_BitLevel,Q2_BitLevel,Q3_BitLevel,TTL_BitLevel,PlungerPosition,PumpRate,SolenoidValvesDutyCycle,UV,RH,Temp,OHExposure,OHExposureModel,PhotochemicalAge,PhotochemicalAgeModel,SLFC_Set,MFC1_Set,MFC1_Read,MFC2_Set,MFC2_Read,MFC3_Set,MFC3_Read,MFC4_Set,MFC4_Read,MFC5_Set,MFC5_Read,MFC6_Set,MFC6_Read,ExcessFlow_SLPM,SLFC_SLPM,AI3,AI4,AI5,AI6,AI7,PB0,PB1,PB2,PB3,PB4,PB5,PB6
2025-06-12 09:29:11,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,269.9284842,26.68432617,19.08790039,0,0,0,0,0,0,0,6,6.000999928,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:12,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,248.124891,26.68432617,19.0664502,0,0,0,0,0,0,0,6,5.999000072,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:13,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,237.2230944,26.68432617,19.08790039,0,0,0,0,0,0,0,6,5.998000145,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:14,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,231.1180883,26.68432617,19.07717529,0,0,0,0,0,0,0,6,5.998000145,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:15,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,227.1934415,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:16,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,225.449154,26.68432617,19.0664502,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:17,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,224.1409384,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6.000999928,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:18,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,223.2687947,26.68432617,19.0664502,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:19,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,223.2687947,26.68432617,19.08790039,0,0,0,0,0,0,0,6,5.997000217,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:20,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,224.1409384,26.68432617,19.08790039,0,0,0,0,0,0,0,6,5.998000145,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:21,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,224.5770103,26.68432617,19.07717529,0,0,0,0,0,0,0,6,5.999000072,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:22,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,226.3212977,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:23,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,226.7573696,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:24,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,228.0655852,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:26,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,229.8098727,26.68432617,19.08790039,0,0,0,0,0,0,0,6,5.998000145,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:27,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,231.5541601,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6.001999855,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:28,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,233.2984476,26.68432617,19.08790039,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:29,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,235.042735,26.68432617,19.07717529,0,0,0,0,0,0,0,6,5.998000145,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:30,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,236.7870225,26.68432617,19.07717529,0,0,0,0,0,0,0,6,6.000999928,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:31,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,238.53131,26.68432617,19.07717529,0,0,0,0,0,0,0,6,5.999000072,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
2025-06-12 09:29:32,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,240.7116693,26.68432617,19.07717529,0,0,0,0,0,0,0,6,5.999000072,0,0,0,0,0,0,0,0,9.512215339,9.2963,10,10,10,10,10,1,1,1,1,1,1,1
